gen,solo,bail,loyal,pay_solo,pay_bail,pay_loyal
0,0.3333,0.3333,0.3333,0.6318,0.6081,0.5688
1,0.3493,0.3362,0.3145,0.6328,0.6094,0.5571
2,0.3677,0.3408,0.2914,0.6338,0.6111,0.5407
3,0.3891,0.3477,0.2631,0.6350,0.6130,0.5175
4,0.4143,0.3574,0.2283,0.6362,0.6156,0.4840
5,0.4436,0.3704,0.1860,0.6373,0.6196,0.4354
6,0.4766,0.3868,0.1365,0.6380,0.6261,0.3659
7,0.5100,0.4062,0.0838,0.6379,0.6368,0.2746
8,0.5359,0.4262,0.0379,0.6369,0.6508,0.1778
9,0.5458,0.4434,0.0108,0.6359,0.6615,0.1111
10,0.5409,0.4572,0.0019,0.6354,0.6654,0.0855
11,0.5303,0.4694,0.0002,0.6352,0.6661,0.0782
12,0.5186,0.4814,0.0000,0.6351,0.6660,0.0747
13,0.5067,0.4932,0.0000,0.6349,0.6658,0.0718
14,0.4949,0.5051,0.0000,0.6348,0.6657,0.0692
15,0.4830,0.5170,0.0000,0.6347,0.6655,0.0667
16,0.4712,0.5288,0.0000,0.6345,0.6652,0.0644
17,0.4594,0.5406,0.0000,0.6344,0.6650,0.0623
18,0.4477,0.5523,0.0000,0.6343,0.6648,0.0603
19,0.4362,0.5638,0.0000,0.6341,0.6645,0.0584
20,0.4247,0.5753,0.0000,0.6340,0.6642,0.0567
21,0.4133,0.5867,0.0000,0.6339,0.6640,0.0551
22,0.4021,0.5979,0.0000,0.6337,0.6637,0.0536
23,0.3911,0.6089,0.0000,0.6336,0.6634,0.0522
24,0.3802,0.6198,0.0000,0.6335,0.6631,0.0509
25,0.3695,0.6305,0.0000,0.6333,0.6628,0.0496
26,0.3590,0.6410,0.0000,0.6332,0.6624,0.0484
27,0.3487,0.6513,0.0000,0.6330,0.6621,0.0473
28,0.3385,0.6615,0.0000,0.6329,0.6618,0.0463
29,0.3286,0.6714,0.0000,0.6328,0.6615,0.0453
30,0.3189,0.6811,0.0000,0.6326,0.6611,0.0444
31,0.3094,0.6906,0.0000,0.6324,0.6608,0.0435
32,0.3001,0.6999,0.0000,0.6323,0.6604,0.0426
33,0.2910,0.7090,0.0000,0.6321,0.6601,0.0418
34,0.2822,0.7178,0.0000,0.6319,0.6598,0.0410
35,0.2735,0.7265,0.0000,0.6318,0.6594,0.0403
36,0.2651,0.7349,0.0000,0.6316,0.6591,0.0396
37,0.2569,0.7431,0.0000,0.6314,0.6587,0.0389
38,0.2489,0.7511,0.0000,0.6312,0.6584,0.0382
39,0.2411,0.7589,0.0000,0.6310,0.6580,0.0376
40,0.2335,0.7665,0.0000,0.6308,0.6577,0.0370
41,0.2261,0.7739,0.0000,0.6306,0.6574,0.0364
42,0.2189,0.7811,0.0000,0.6304,0.6570,0.0358
43,0.2119,0.7881,0.0000,0.6302,0.6567,0.0353
44,0.2052,0.7948,0.0000,0.6300,0.6564,0.0348
45,0.1986,0.8014,0.0000,0.6298,0.6560,0.0343
46,0.1921,0.8079,0.0000,0.6296,0.6557,0.0338
47,0.1859,0.8141,0.0000,0.6294,0.6554,0.0333
48,0.1798,0.8202,0.0000,0.6291,0.6551,0.0328
49,0.1740,0.8260,0.0000,0.6289,0.6548,0.0324
50,0.1682,0.8318,0.0000,0.6287,0.6545,0.0320
51,0.1627,0.8373,0.0000,0.6285,0.6542,0.0316
52,0.1573,0.8427,0.0000,0.6282,0.6539,0.0312
53,0.1521,0.8479,0.0000,0.6280,0.6536,0.0308
54,0.1470,0.8530,0.0000,0.6278,0.6533,0.0304
55,0.1421,0.8579,0.0000,0.6275,0.6530,0.0301
56,0.1373,0.8627,0.0000,0.6273,0.6527,0.0297
57,0.1327,0.8673,0.0000,0.6271,0.6524,0.0294
58,0.1282,0.8718,0.0000,0.6268,0.6522,0.0291
59,0.1238,0.8762,0.0000,0.6266,0.6519,0.0288
60,0.1196,0.8804,0.0000,0.6264,0.6517,0.0285
61,0.1155,0.8845,0.0000,0.6261,0.6514,0.0282
62,0.1115,0.8885,0.0000,0.6259,0.6512,0.0279
63,0.1076,0.8924,0.0000,0.6257,0.6509,0.0276
64,0.1039,0.8961,0.0000,0.6255,0.6507,0.0274
65,0.1003,0.8997,0.0000,0.6252,0.6504,0.0271
66,0.0968,0.9032,0.0000,0.6250,0.6502,0.0269
67,0.0934,0.9066,0.0000,0.6248,0.6500,0.0267
68,0.0901,0.9099,0.0000,0.6246,0.6498,0.0264
69,0.0869,0.9131,0.0000,0.6244,0.6496,0.0262
70,0.0838,0.9162,0.0000,0.6242,0.6494,0.0260
71,0.0808,0.9192,0.0000,0.6240,0.6492,0.0258
72,0.0779,0.9221,0.0000,0.6238,0.6490,0.0256
73,0.0751,0.9249,0.0000,0.6236,0.6488,0.0254
74,0.0724,0.9276,0.0000,0.6234,0.6486,0.0253
75,0.0698,0.9302,0.0000,0.6232,0.6484,0.0251
76,0.0672,0.9328,0.0000,0.6230,0.6482,0.0249
77,0.0648,0.9352,0.0000,0.6228,0.6481,0.0248
78,0.0624,0.9376,0.0000,0.6226,0.6479,0.0246
79,0.0601,0.9399,0.0000,0.6224,0.6477,0.0245
80,0.0579,0.9421,0.0000,0.6222,0.6476,0.0243
81,0.0558,0.9442,0.0000,0.6221,0.6474,0.0242
82,0.0537,0.9463,0.0000,0.6219,0.6473,0.0241
83,0.0517,0.9483,0.0000,0.6217,0.6471,0.0239
84,0.0498,0.9502,0.0000,0.6216,0.6470,0.0238
85,0.0479,0.9521,0.0000,0.6214,0.6469,0.0237
86,0.0461,0.9539,0.0000,0.6213,0.6467,0.0236
87,0.0444,0.9556,0.0000,0.6211,0.6466,0.0235
88,0.0427,0.9573,0.0000,0.6210,0.6465,0.0234
89,0.0411,0.9589,0.0000,0.6208,0.6464,0.0233
90,0.0395,0.9605,0.0000,0.6207,0.6463,0.0232
91,0.0380,0.9620,0.0000,0.6205,0.6462,0.0231
92,0.0366,0.9634,0.0000,0.6204,0.6460,0.0230
93,0.0352,0.9648,0.0000,0.6203,0.6459,0.0230
94,0.0338,0.9662,0.0000,0.6202,0.6458,0.0229
95,0.0325,0.9675,0.0000,0.6200,0.6457,0.0228
96,0.0313,0.9687,0.0000,0.6199,0.6456,0.0227
97,0.0301,0.9699,0.0000,0.6198,0.6456,0.0227
98,0.0289,0.9711,0.0000,0.6197,0.6455,0.0226
99,0.0278,0.9722,0.0000,0.6196,0.6454,0.0225
100,0.0267,0.9733,0.0000,0.6195,0.6453,0.0225
101,0.0256,0.9744,0.0000,0.6194,0.6452,0.0224
102,0.0246,0.9754,0.0000,0.6193,0.6452,0.0223
103,0.0237,0.9763,0.0000,0.6192,0.6451,0.0223
104,0.0227,0.9773,0.0000,0.6191,0.6450,0.0222
105,0.0219,0.9781,0.0000,0.6190,0.6449,0.0222
106,0.0210,0.9790,0.0000,0.6189,0.6449,0.0221
107,0.0202,0.9798,0.0000,0.6188,0.6448,0.0221
108,0.0194,0.9806,0.0000,0.6188,0.6447,0.0220
109,0.0186,0.9814,0.0000,0.6187,0.6447,0.0220
110,0.0179,0.9821,0.0000,0.6186,0.6446,0.0220
111,0.0172,0.9828,0.0000,0.6185,0.6446,0.0219
112,0.0165,0.9835,0.0000,0.6185,0.6445,0.0219
113,0.0158,0.9842,0.0000,0.6184,0.6445,0.0219
114,0.0152,0.9848,0.0000,0.6183,0.6444,0.0218
115,0.0146,0.9854,0.0000,0.6183,0.6444,0.0218
116,0.0140,0.9860,0.0000,0.6182,0.6443,0.0218
117,0.0134,0.9866,0.0000,0.6181,0.6443,0.0217
118,0.0129,0.9871,0.0000,0.6181,0.6442,0.0217
119,0.0124,0.9876,0.0000,0.6180,0.6442,0.0217
120,0.0119,0.9881,0.0000,0.6180,0.6442,0.0216
121,0.0114,0.9886,0.0000,0.6179,0.6441,0.0216
122,0.0109,0.9891,0.0000,0.6179,0.6441,0.0216
123,0.0105,0.9895,0.0000,0.6178,0.6441,0.0216
124,0.0101,0.9899,0.0000,0.6178,0.6440,0.0215
125,0.0097,0.9903,0.0000,0.6177,0.6440,0.0215
126,0.0093,0.9907,0.0000,0.6177,0.6440,0.0215
127,0.0089,0.9911,0.0000,0.6177,0.6439,0.0215
128,0.0086,0.9914,0.0000,0.6176,0.6439,0.0215
129,0.0082,0.9918,0.0000,0.6176,0.6439,0.0214
130,0.0079,0.9921,0.0000,0.6176,0.6439,0.0214
131,0.0076,0.9924,0.0000,0.6175,0.6438,0.0214
132,0.0072,0.9928,0.0000,0.6175,0.6438,0.0214
133,0.0070,0.9930,0.0000,0.6175,0.6438,0.0214
134,0.0067,0.9933,0.0000,0.6174,0.6438,0.0214
135,0.0064,0.9936,0.0000,0.6174,0.6437,0.0213
136,0.0061,0.9939,0.0000,0.6174,0.6437,0.0213
137,0.0059,0.9941,0.0000,0.6173,0.6437,0.0213
138,0.0057,0.9943,0.0000,0.6173,0.6437,0.0213
139,0.0054,0.9946,0.0000,0.6173,0.6437,0.0213
140,0.0052,0.9948,0.0000,0.6173,0.6436,0.0213
141,0.0050,0.9950,0.0000,0.6172,0.6436,0.0213
142,0.0048,0.9952,0.0000,0.6172,0.6436,0.0213
143,0.0046,0.9954,0.0000,0.6172,0.6436,0.0213
144,0.0044,0.9956,0.0000,0.6172,0.6436,0.0212
145,0.0042,0.9958,0.0000,0.6172,0.6436,0.0212
146,0.0040,0.9960,0.0000,0.6171,0.6436,0.0212
147,0.0039,0.9961,0.0000,0.6171,0.6435,0.0212
148,0.0037,0.9963,0.0000,0.6171,0.6435,0.0212
149,0.0036,0.9964,0.0000,0.6171,0.6435,0.0212
150,0.0034,0.9966,0.0000,0.6171,0.6435,0.0212
151,0.0033,0.9967,0.0000,0.6171,0.6435,0.0212
152,0.0032,0.9968,0.0000,0.6170,0.6435,0.0212
153,0.0030,0.9970,0.0000,0.6170,0.6435,0.0212
154,0.0029,0.9971,0.0000,0.6170,0.6435,0.0212
155,0.0028,0.9972,0.0000,0.6170,0.6435,0.0212
156,0.0027,0.9973,0.0000,0.6170,0.6434,0.0212
157,0.0026,0.9974,0.0000,0.6170,0.6434,0.0211
158,0.0025,0.9975,0.0000,0.6170,0.6434,0.0211
159,0.0024,0.9976,0.0000,0.6170,0.6434,0.0211
160,0.0023,0.9977,0.0000,0.6169,0.6434,0.0211
161,0.0022,0.9978,0.0000,0.6169,0.6434,0.0211
162,0.0021,0.9979,0.0000,0.6169,0.6434,0.0211
163,0.0020,0.9980,0.0000,0.6169,0.6434,0.0211
164,0.0019,0.9981,0.0000,0.6169,0.6434,0.0211
165,0.0018,0.9982,0.0000,0.6169,0.6434,0.0211
166,0.0018,0.9982,0.0000,0.6169,0.6434,0.0211
167,0.0017,0.9983,0.0000,0.6169,0.6434,0.0211
168,0.0016,0.9984,0.0000,0.6169,0.6434,0.0211
169,0.0015,0.9985,0.0000,0.6169,0.6434,0.0211
170,0.0015,0.9985,0.0000,0.6169,0.6433,0.0211
171,0.0014,0.9986,0.0000,0.6168,0.6433,0.0211
172,0.0014,0.9986,0.0000,0.6168,0.6433,0.0211
173,0.0013,0.9987,0.0000,0.6168,0.6433,0.0211
174,0.0013,0.9987,0.0000,0.6168,0.6433,0.0211
175,0.0012,0.9988,0.0000,0.6168,0.6433,0.0211
176,0.0012,0.9988,0.0000,0.6168,0.6433,0.0211
177,0.0011,0.9989,0.0000,0.6168,0.6433,0.0211
178,0.0011,0.9989,0.0000,0.6168,0.6433,0.0211
179,0.0010,0.9990,0.0000,0.6168,0.6433,0.0211
180,0.0010,0.9990,0.0000,0.6168,0.6433,0.0211
181,0.0009,0.9991,0.0000,0.6168,0.6433,0.0211
182,0.0009,0.9991,0.0000,0.6168,0.6433,0.0211
183,0.0009,0.9991,0.0000,0.6168,0.6433,0.0211
184,0.0008,0.9992,0.0000,0.6168,0.6433,0.0211
185,0.0008,0.9992,0.0000,0.6168,0.6433,0.0211
186,0.0008,0.9992,0.0000,0.6168,0.6433,0.0211
187,0.0007,0.9993,0.0000,0.6168,0.6433,0.0211
188,0.0007,0.9993,0.0000,0.6168,0.6433,0.0211
189,0.0007,0.9993,0.0000,0.6168,0.6433,0.0210
190,0.0006,0.9994,0.0000,0.6168,0.6433,0.0210
191,0.0006,0.9994,0.0000,0.6168,0.6433,0.0210
192,0.0006,0.9994,0.0000,0.6168,0.6433,0.0210
193,0.0006,0.9994,0.0000,0.6168,0.6433,0.0210
194,0.0005,0.9995,0.0000,0.6167,0.6433,0.0210
195,0.0005,0.9995,0.0000,0.6167,0.6433,0.0210
196,0.0005,0.9995,0.0000,0.6167,0.6433,0.0210
197,0.0005,0.9995,0.0000,0.6167,0.6433,0.0210
198,0.0005,0.9995,0.0000,0.6167,0.6433,0.0210
199,0.0004,0.9996,0.0000,0.6167,0.6433,0.0210
200,0.0004,0.9996,0.0000,0.6167,0.6433,0.0210
